Generation,Population,Orders,Trades,Positions,Fees (USDT),RealizedProfits (USDT),ROI,Price Interval for JMA etc.,Hard Exit Now,Soft Exit Now,dca_gap_modifier (0.5x - 1.5x),max_dca_orders,above_this_adx_means_trending (ex: 25),jma_percent_tp_offset (ex: 0.10),jma_period_length,tp_percent_offset,rsi RSI Length,rsi SMA Length,rsi Buy Level,rsi Sell Level
1,126,150,143,55,1.36224924,5.6583507599998,198.3658%,2,False,False,1,10,25,0.1,38,0.16,23,6,45,55
1,125,191,183,74,1.71693512,5.0542648799998,185.8821%,2,False,False,1,10,25,0.1,38,0.12,23,6,45,55
1,124,108,106,37,1.03904648,7.9223535199998,251.5573%,2,False,False,1,10,25,0.1,37,0.32,23,6,45,55
1,123,139,135,50,1.31047192,7.3455280799998,244.1356%,2,False,False,1,10,25,0.1,37,0.22,23,6,45,55
1,122,146,142,54,1.36348436,5.5907156399998,192.2519%,2,False,False,1,10,25,0.1,37,0.16,23,6,45,55
1,121,182,177,71,1.66512812,5.1008718799998,185.9746%,2,False,False,1,10,25,0.1,37,0.12,23,6,45,55
1,120,110,108,38,1.05497632,8.1496236800002,261.289%,2,False,False,1,10,25,0.1,36,0.32,23,6,45,55
1,119,141,137,51,1.32641428,7.5101857200002,251.2644%,2,False,False,1,10,25,0.1,36,0.22,23,6,45,55
1,118,148,144,55,1.3794314,5.7535686000002,198.9844%,2,False,False,1,10,25,0.1,36,0.16,23,6,45,55
1,117,180,175,70,1.64866384,5.1679361600004,187.7488%,2,False,False,1,10,25,0.1,36,0.12,23,6,45,55
1,116,109,105,36,1.03884292,8.0447570799996,248.5894%,2,False,False,1,10,25,0.1,35,0.32,23,6,45,55
1,115,140,136,50,1.32629224,7.4741077599996,245.1782%,2,False,False,1,10,25,0.1,35,0.22,23,6,45,55
1,114,147,143,54,1.37759908,5.8550009199996,199.0927%,2,False,False,1,10,25,0.1,35,0.16,23,6,45,55
1,113,187,182,72,1.74406412,5.80093588,203.0365%,2,False,False,1,10,25,0.1,35,0.12,23,6,45,55
1,112,113,109,37,1.08867348,8.4101265200004,253.5245%,2,False,False,1,10,25,0.1,34,0.32,23,6,45,55
1,111,144,140,51,1.37623872,7.5753612800004,243.4925%,2,False,False,1,10,25,0.1,34,0.22,23,6,45,55
1,110,150,145,54,1.40987868,6.15952132,204.2492%,2,False,False,1,10,25,0.1,34,0.16,23,6,45,55
1,109,194,188,74,1.81133296,5.98846704,206.9566%,2,False,False,1,10,25,0.1,34,0.12,23,6,45,55
1,108,116,111,38,1.10452664,8.4192733600004,256.5148%,2,False,False,1,10,25,0.1,33,0.32,23,6,45,55
1,107,143,140,51,1.37453612,7.5474638800004,242.9095%,2,False,False,1,10,25,0.1,33,0.22,23,6,45,55
1,106,151,145,54,1.40984704,6.18295296,205.027%,2,False,False,1,10,25,0.1,33,0.16,23,6,45,55
1,105,192,186,73,1.79437648,5.94362352,204.6526%,2,False,False,1,10,25,0.1,33,0.12,23,6,45,55
1,104,116,111,38,1.10452084,8.3640791600006,254.8366%,2,False,False,1,10,25,0.1,32,0.32,23,6,45,55
1,103,141,138,50,1.35884716,7.4445528400006,237.8468%,2,False,False,1,10,25,0.1,32,0.22,23,6,45,55
1,102,151,145,54,1.40982976,6.1831702400006,205.0363%,2,False,False,1,10,25,0.1,32,0.16,23,6,45,55
